File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R1MA1;0.10;1.5;1.7;32.5;60;400
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R15MA1;0.15;1.9;2.5;26;52;180
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R2MA1;0.20;2.4;3.0;24;41;150
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R22MA1;0.22;2.5;2.8;23;40;126
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R33MA1;0.33;3.5;3.9;20;30;100
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R47MA1;0.47;4;4.2;17.5;26;75
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R68MA1;0.68;5;5.5;15.5;25;62
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER0R82MA1;0.82;6.7;8;13;24;60
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER1R0MA1;1.0;9;10;11;22;55
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER1R5MA1;1.5;14;15;9;18;40
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER2R2MA1;2.2;18;20;8;14;38
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER3R3MA1;3.3;28;30;6;13.5;30
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER4R7MA1;4.7;37;40;5.5;10;25
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER6R8MA1;6.8;54;60;4.5;8;21
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER8R2MA1;8.2;64;68;4;7.5;17
IHLM-2525CZ-A1;image/small_inductors/34243.png;Low Profile, High Current Inductors - Special Molding;IHLM2525CZER100MA1;10;102;105;3;7.0;16
