File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R1M01;0.10;3.00;3.16;23.0;27.0;255
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R22M01;0.22;4.30;4.52;15.5;21.0;160
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R33M01;0.33;5.70;6.10;13.7;19.0;128
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R47M01;0.47;6.70;7.04;12.2;16.0;84
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R68M01;0.68;8.53;8.96;10.2;13.5;80
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER0R82M01;0.82;11.3;11.9;9.3;13.0;73
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER1R0M01;1.0;13.1;13.7;9.2;12.0;59
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER1R5M01;1.5;19.7;20.7;7.2;11.0;42
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER2R2M01;2.2;27.8;29.2;5.8;10.0;39
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER3R3M01;3.3;52.1;54.7;5.0;8.5;31
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER4R7M01;4.7;73.8;77.5;3.5;8.2;25
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER5R6M01;5.6;103;108;3.0;4.1;24
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER100M01;10.0;158;164;2.5;4.0;16
IHLP-2020CZ-01;image/small_inductors/34280.png;IHLP® Commercial Inductors, High Saturation Series;IHLP2020CZER150M01;15.0;252;265;1.9;2.5;13.5
