File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A);30 % DROP (3);SRF TY (MHz
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER000M5A;;;;;20 % DROP (2);30 % DROP (3);
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER0R22M5A;0.22;1.68;1.86;36;32;44;117
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER0R47M5A;0.47;2.38;2.55;27;19;24;77
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER0R68M5A;0.68;3.3;3.53;21.5;12;17;51
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER0R82M5A;0.82;3.7;4;20;15;22;49
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER1R0M5A;1.0;4.58;4.9;19;15;22;45
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER1R5M5A;1.5;6.78;7.25;15.5;14;20;35
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER2R2M5A;2.2;11.7;12.5;11.5;14;20;32
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER3R3M5A;3.3;15.4;16.48;10.6;11.8;16;23
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER4R7M5A;4.7;26.6;28.46;7.2;9.1;12;18
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER5R6M5A;5.6;29.6;31.67;6.9;9;12;18
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER6R8M5A;6.8;33.5;35.9;6.8;6.3;9.2;15.3
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER100M5A;10;50;53.5;5.1;5.2;7;13
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER150M5A;15;62;66.34;4.8;3.6;4.5;10
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER220M5A;22;103;110.21;3.7;3.8;5;9
IHLP-3232DZ-5A;image/small_inductors/34336.png;www.vishay.com Vishay Dale;IHLP3232DZER330M5A;33;149;159.43;3.1;3.2;4.2;6.1
